#Theta_in,Phi_in,Pol_in,Theta_out,Phi_out,Mag
0.0,0.0,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,0.0,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,0.2617993877991494,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,0.2617993877991494,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,0.5235987755982988,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,0.5235987755982988,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,0.7853981633974483,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,0.7853981633974483,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,1.0471975511965976,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,1.0471975511965976,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,1.3089969389957472,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,1.3089969389957472,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,1.5707963267948966,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,1.5707963267948966,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,1.8325957145940461,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,1.8325957145940461,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,2.0943951023931953,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,2.0943951023931953,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,2.356194490192345,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,2.356194490192345,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,2.6179938779914944,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,2.6179938779914944,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,2.8797932657906435,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,2.8797932657906435,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,3.141592653589793,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,3.141592653589793,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,3.4033920413889427,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,3.4033920413889427,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,3.6651914291880923,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,3.6651914291880923,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,3.9269908169872414,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,3.9269908169872414,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,4.1887902047863905,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,4.1887902047863905,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,4.4505895925855405,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,4.4505895925855405,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,4.71238898038469,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,4.71238898038469,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,4.974188368183839,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,4.974188368183839,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,5.235987755982989,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,5.235987755982989,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,5.497787143782138,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,5.497787143782138,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,5.759586531581287,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,5.759586531581287,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0,6.021385919380437,0.0,3.1288849669930916,3.141592653589793,0.9485065839038757
0.0,6.021385919380437,1.5707963267948966,0.13881165387331262,3.141592653589793,0.4208177948102955
0.0017453292519943296,0.0,0.0,3.1307467328261507,3.141592653589793,0.948485786540315
0.0017453292519943296,0.0,1.5707963267948966,0.13824937991482658,3.141592653589793,0.4178669666245467
0.0017453292519943296,0.2617993877991494,0.0,3.1306730691110722,3.0979246742663533,0.948486546937538
0.0017453292519943296,0.2617993877991494,1.5707963267948966,0.13826800040649476,3.1337504021135536,0.41796901288508564
0.0017453292519943296,0.5235987755982988,0.0,3.1304587301222995,3.058787372587036,0.9484887887441968
0.0017453292519943296,0.5235987755982988,1.5707963267948966,0.13832925956345174,3.1264592409515672,0.4182552771317566
0.0017453292519943296,0.7853981633974483,0.0,3.130127491931826,3.027758879800535,0.9484923389437787
0.0017453292519943296,0.7853981633974483,1.5707963267948966,0.13842042587972575,3.1202271852565575,0.41872502975161396
0.0017453292519943296,1.0471975511965976,0.0,3.129708207630195,3.0069775230976963,0.9484869813886958
0.0017453292519943296,1.0471975511965976,1.5707963267948966,0.1385455138612196,3.1154861699286496,0.4193381348039909
0.0017453292519943296,1.3089969389957472,0.0,3.129236817919604,2.9971034806009302,0.9484924006694836
