#Theta,Phi,Pol,Theta,Phi,Mag
-0.39270,0.87266,0.00000,2.28169,-1.44908,0.38298
-0.39270,0.95993,0.00000,1.85438,-2.20144,0.42030
-0.39270,1.04720,0.00000,1.85045,-2.25058,0.45731
-0.39270,1.13446,0.00000,1.91749,-2.20452,0.46396
-0.39270,1.22173,0.00000,2.00498,-2.17429,0.48466
-0.39270,1.30900,0.00000,2.07921,-2.15858,0.51063
-0.39270,1.39626,0.00000,2.15183,-2.14839,0.53954
-0.39270,1.48353,0.00000,2.21024,-2.13616,0.56337
-0.39270,1.57080,0.00000,2.25627,-2.11565,0.57824
-0.39270,-1.48353,1.57080,1.45589,1.94082,0.40066
-0.39270,-1.39626,1.57080,1.43336,1.93345,0.39925
-0.39270,-1.30900,1.57080,1.47805,1.88788,0.38829
-0.39270,-1.22173,1.57080,1.61113,1.81965,0.37445
-0.39270,-1.13446,1.57080,1.83073,1.75043,0.37356
-0.39270,-1.04720,1.57080,2.08280,1.62528,0.39785
-0.39270,-0.95993,1.57080,2.30039,1.43882,0.44864
-0.39270,-0.87266,1.57080,2.27933,0.77044,0.56404
-0.39270,-0.78540,1.57080,2.16491,0.86086,0.43871
-0.39270,-0.69813,1.57080,2.13453,0.92217,0.37126
-0.39270,-0.61087,1.57080,2.16082,0.95564,0.32785
-0.39270,-0.52360,1.57080,2.23953,0.96126,0.30057
-0.39270,-0.43633,1.57080,2.35786,0.93557,0.28682
-0.39270,-0.34907,1.57080,2.49276,0.87128,0.28459
-0.39270,-0.26180,1.57080,2.61993,0.75685,0.29046
-0.39270,-0.17453,1.57080,2.72188,0.57662,0.29972
-0.39270,-0.08727,1.57080,2.78797,0.31885,0.30762
-0.39270,0.00000,1.57080,2.81104,0.00000,0.31069
-0.39270,0.08727,1.57080,2.78796,-0.31885,0.30761
-0.39270,0.17453,1.57080,2.72187,-0.57666,0.29970
-0.39270,0.26180,1.57080,2.61991,-0.75694,0.29042
-0.39270,0.34907,1.57080,2.49269,-0.87137,0.28454
-0.39270,0.43633,1.57080,2.35774,-0.93565,0.28677
-0.39270,0.52360,1.57080,2.23940,-0.96134,0.30051
-0.39270,0.61087,1.57080,2.16062,-0.95573,0.32779
-0.39270,0.69813,1.57080,2.13438,-0.92225,0.37120
-0.39270,0.78540,1.57080,2.16478,-0.86088,0.43865
-0.39270,0.87266,1.57080,2.27927,-0.77047,0.56400
-0.39270,0.95993,1.57080,2.30027,-1.43955,0.44855
-0.39270,1.04720,1.57080,2.08274,-1.62536,0.39784
-0.39270,1.13446,1.57080,1.83070,-1.75067,0.37357
-0.39270,1.22173,1.57080,1.61126,-1.81962,0.37445
-0.39270,1.30900,1.57080,1.47813,-1.88791,0.38829
-0.39270,1.39626,1.57080,1.43334,-1.93345,0.39925
-0.39270,1.48353,1.57080,1.45583,-1.94078,0.40066
-0.39270,1.57080,1.57080,1.48657,-1.92602,0.39811
-0.34907,-1.48353,0.00000,2.26137,2.17637,0.53859
-0.34907,-1.39626,0.00000,2.21165,2.19682,0.51996
-0.34907,-1.30900,0.00000,2.15643,2.22016,0.49911
-0.34907,-1.22173,0.00000,2.09341,2.25034,0.47771
-0.34907,-1.13446,0.00000,2.02492,2.27923,0.45471
-0.34907,-1.04720,0.00000,1.95314,2.31830,0.43629
-0.34907,-0.95993,0.00000,1.89829,2.31704,0.40622
-0.34907,-0.87266,0.00000,2.02083,2.33957,0.41136
-0.34907,-0.78540,0.00000,2.34770,2.31388,0.46275
-0.34907,-0.69813,0.00000,2.74107,1.80218,0.55954
-0.34907,-0.61087,0.00000,2.84283,1.99537,0.69824
-0.34907,-0.52360,0.00000,2.88380,2.12889,0.75039
-0.34907,-0.43633,0.00000,2.91115,2.25553,0.77106
-0.34907,-0.34907,0.00000,2.93260,2.39410,0.77890
-0.34907,-0.26180,0.00000,2.94987,2.55211,0.78137
-0.34907,-0.17453,0.00000,2.96293,2.73179,0.78167
-0.34907,-0.08727,0.00000,2.97120,2.93082,0.78136
-0.34907,0.00000,0.00000,2.97405,-3.14159,0.78118
-0.34907,0.08727,0.00000,2.97121,-2.93080,0.78135
-0.34907,0.17453,0.00000,2.96295,-2.73173,0.78166
-0.34907,0.26180,0.00000,2.94989,-2.55203,0.78134
-0.34907,0.34907,0.00000,2.93262,-2.39397,0.77888
-0.34907,0.43633,0.00000,2.91117,-2.25536,0.77103
-0.34907,0.52360,0.00000,2.88382,-2.12871,0.75034
-0.34907,0.61087,0.00000,2.84283,-1.99520,0.69818
-0.34907,0.69813,0.00000,2.74099,-1.80201,0.55941
-0.34907,0.78540,0.00000,2.34753,-2.31408,0.46277
-0.34907,0.87266,0.00000,2.02068,-2.33945,0.41128
-0.34907,0.95993,0.00000,1.89795,-2.31685,0.40610
-0.34907,1.04720,0.00000,1.95294,-2.31853,0.43635
-0.34907,1.13446,0.00000,2.02484,-2.27953,0.45481
-0.34907,1.22173,0.00000,2.09346,-2.25057,0.47781
-0.34907,1.30900,0.00000,2.15650,-2.22034,0.49920
-0.34907,1.39626,0.00000,2.21169,-2.19682,0.51997
-0.34907,1.48353,0.00000,2.26135,-2.17625,0.53854
-0.34907,1.57080,0.00000,2.30351,-2.15102,0.55042
-0.34907,-1.48353,1.57080,1.43474,2.03500,0.37374
-0.34907,-1.39626,1.57080,1.42738,2.01876,0.36973
-0.34907,-1.30900,1.57080,1.47375,1.98011,0.35809
-0.34907,-1.22173,1.57080,1.60465,1.92790,0.34282
-0.34907,-1.13446,1.57080,1.77529,1.89267,0.33533
-0.34907,-1.04720,1.57080,1.99793,1.82323,0.33949
-0.34907,-0.95993,1.57080,2.13470,1.84740,0.35146
-0.34907,-0.87266,1.57080,2.33448,1.74712,0.38150
-0.34907,-0.78540,1.57080,2.53209,1.46118,0.44091
-0.34907,-0.69813,1.57080,2.46993,0.64407,0.58284
-0.34907,-0.61087,1.57080,2.42232,0.68861,0.46877
-0.34907,-0.52360,1.57080,2.41975,0.69712,0.40335
-0.34907,-0.43633,1.57080,2.44586,0.67678,0.36035
-0.34907,-0.34907,1.57080,2.49331,0.62359,0.33205
-0.34907,-0.26180,1.57080,2.55135,0.53130,0.31425
-0.34907,-0.17453,1.57080,2.60689,0.39399,0.30397
-0.34907,-0.08727,1.57080,2.64702,0.21199,0.29886
-0.34907,0.00000,1.57080,2.66170,0.00000,0.29735
-0.34907,0.08727,1.57080,2.64704,-0.21200,0.29885
-0.34907,0.17453,1.57080,2.60688,-0.39401,0.30395
-0.34907,0.26180,1.57080,2.55130,-0.53132,0.31421
-0.34907,0.34907,1.57080,2.49326,-0.62365,0.33200
-0.34907,0.43633,1.57080,2.44580,-0.67686,0.36029
-0.34907,0.52360,1.57080,2.41966,-0.69717,0.40329
-0.34907,0.61087,1.57080,2.42226,-0.68867,0.46870
-0.34907,0.69813,1.57080,2.46989,-0.64412,0.58277
-0.34907,0.78540,1.57080,2.53203,-1.46173,0.44085
-0.34907,0.87266,1.57080,2.33429,-1.74719,0.38143
-0.34907,0.95993,1.57080,2.13460,-1.84763,0.35146
-0.34907,1.04720,1.57080,1.99781,-1.82346,0.33948
-0.34907,1.13446,1.57080,1.77542,-1.89261,0.33533
-0.34907,1.22173,1.57080,1.60482,-1.92793,0.34283
-0.34907,1.30900,1.57080,1.47385,-1.98016,0.35809
-0.34907,1.39626,1.57080,1.42740,-2.01874,0.36973
-0.34907,1.48353,1.57080,1.43476,-2.03498,0.37373
-0.34907,1.57080,1.57080,1.46683,-2.04497,0.37508
-0.30543,-1.48353,0.00000,2.32116,2.22981,0.51868
-0.30543,-1.39626,0.00000,2.28059,2.25812,0.50563
-0.30543,-1.30900,0.00000,2.23546,2.28715,0.48921
-0.30543,-1.22173,0.00000,2.18618,2.32050,0.47177
-0.30543,-1.13446,0.00000,2.12924,2.35728,0.45268
-0.30543,-1.04720,0.00000,2.06422,2.38418,0.42701
-0.30543,-0.95993,0.00000,2.01053,2.40391,0.40061
-0.30543,-0.87266,0.00000,2.02386,2.41099,0.37954
-0.30543,-0.78540,0.00000,2.17183,2.39446,0.37491
-0.30543,-0.69813,0.00000,2.41882,2.43818,0.44695
-0.30543,-0.61087,0.00000,2.54515,2.51369,0.51825
-0.30543,-0.52360,0.00000,2.65203,2.58588,0.59821
-0.30543,-0.43633,0.00000,2.84203,2.41609,0.61567
-0.30543,-0.34907,0.00000,2.96353,2.24135,0.70345
-0.30543,-0.26180,0.00000,2.98713,2.43510,0.73617
-0.30543,-0.17453,0.00000,3.00319,2.64638,0.75070
-0.30543,-0.08727,0.00000,3.01311,2.88455,0.75738
-0.30543,0.00000,0.00000,3.01652,-3.14159,0.75934
-0.30543,0.08727,0.00000,3.01312,-2.88453,0.75738
-0.30543,0.17453,0.00000,3.00320,-2.64632,0.75068
-0.30543,0.26180,0.00000,2.98715,-2.43500,0.73615
-0.30543,0.34907,0.00000,2.96354,-2.24119,0.70341
-0.30543,0.43633,0.00000,2.84194,-2.41620,0.61557
-0.30543,0.52360,0.00000,2.65195,-2.58597,0.59821
-0.30543,0.61087,0.00000,2.54523,-2.51361,0.51826
