#Theta, Phi, Pol, Theta, Phi, Mag
0.00000, 4.71239, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 4.71239, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 4.71239, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 4.71239, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 4.71239, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 4.97419, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 4.97419, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 4.97419, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 4.97419, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 4.97419, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 5.23599, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 5.23599, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 5.23599, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 5.23599, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 5.23599, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 5.49779, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 5.49779, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 5.49779, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 5.49779, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 5.49779, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 5.75959, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 5.75959, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 5.75959, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 5.75959, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 5.75959, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 6.02139, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 6.02139, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 6.02139, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 6.02139, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 6.02139, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 6.28319, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 6.28319, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 6.28319, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 6.28319, 1.48353, 0.16202, 3.14159, 0.28296
0.00000, 6.28319, 1.57080, 0.15776, 3.14159, 0.29208
0.00000, 6.30064, 0.00000, 3.12627, 3.14159, 0.92727
0.00000, 6.30064, 0.08727, 3.12585, 3.14159, 0.91801
0.00000, 6.30064, 0.78540, 3.04775, 3.14159, 0.32059
0.00000, 6.30064, 1.48353, 0.16202, 3.14159, 0.28296
