#Theta_in,Phi_in,Pol_in,Theta_out,Phi_out,Mag
0.0,0.0,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,0.0,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,0.2617993877991494,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,0.2617993877991494,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,0.5235987755982988,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,0.5235987755982988,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,0.7853981633974483,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,0.7853981633974483,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,1.0471975511965976,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,1.0471975511965976,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,1.3089969389957472,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,1.3089969389957472,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,1.5707963267948966,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,1.5707963267948966,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,1.8325957145940461,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,1.8325957145940461,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,2.0943951023931953,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,2.0943951023931953,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,2.356194490192345,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,2.356194490192345,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,2.6179938779914944,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,2.6179938779914944,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,2.8797932657906435,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,2.8797932657906435,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,3.141592653589793,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,3.141592653589793,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,3.4033920413889427,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,3.4033920413889427,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,3.6651914291880923,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,3.6651914291880923,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,3.9269908169872414,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,3.9269908169872414,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,4.1887902047863905,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,4.1887902047863905,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,4.4505895925855405,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,4.4505895925855405,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,4.71238898038469,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,4.71238898038469,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,4.974188368183839,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,4.974188368183839,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,5.235987755982989,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,5.235987755982989,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
0.0,5.497787143782138,0.0,3.109653311225342,3.141592653589793,0.8535753383058814
0.0,5.497787143782138,1.5707963267948966,3.0723724839498714,0.0,0.2286275079009523
